Brand_Reg,Model_No,screensize,Screen_Tech,Avg_mode_power,Star2,Screen_Size_Inch,Advertised_Size_Int,Advertised_Size_Category
Aiwa,AWS700WS,176.528,LCD (LED),149.6,4.5,69.4992126,70,70.0 inch
Hisense,32Q6QAU,80.131,LCD (LED),24.82,6,31.5476378,32,32.0 inch
Hisense,32Q6QNZ,80.131,LCD (LED),24.82,6,31.5476378,32,32.0 inch
Hisense,32Q6Q,80.131,LCD (LED),24.82,6,31.5476378,32,32.0 inch
Sylvox,OT75A7K5GD,189.34,LCD,119.9244,6,74.54330709,75,75.0 inch
Sylvox,OQ75A7K5GD,189.34,LCD,119.9244,6,74.54330709,75,75.0 inch
Sylvox,OQ75A2KEGC,189.34,LCD,119.9244,6,74.54330709,75,75.0 inch
Sylvox,OT75A2KOGD,189.34,LCD,119.9244,6,74.54330709,75,75.0 inch
Sylvox,OQ75A2KOGD,189.34,LCD,119.9244,6,74.54330709,75,75.0 inch
Sylvox,OT75B3K5GD,189.34,LCD,119.9244,6,74.54330709,75,75.0 inch
Sylvox,OQ75B3K5GD,189.34,LCD,119.9244,6,74.54330709,75,75.0 inch
Sylvox,OT75BЗKЗGD,189.34,LCD,119.9244,6,74.54330709,75,75.0 inch
Sylvox,OQ75BЗKЗGD,189.34,LCD,119.9244,6,74.54330709,75,75.0 inch
Sylvox,OT75A2K3GD,189.34,LCD,119.9244,6,74.54330709,75,75.0 inch
Sylvox,O*75**K*G*,189.34,LCD,119.9244,6,74.54330709,75,75.0 inch
